Sentence,Sentiment,entities
Around 50 percent of the world 's ro-ro fleet is over 25 years old and needs to be scrapped for environmental reasons .,neutral,"[('Around 50 percent', 'PERCENT'), ('25 years old', 'DATE')]"
"In the first quarter of 2010 , the mark-to-market result was a pretax profit of EUR 133 million versus a loss of EUR 32 million in the same period last year .",positive,"[('the first quarter of 2010', 'DATE'), ('EUR 133 million', 'MONEY'), ('EUR 32 million', 'MONEY'), ('the same period last year', 'DATE')]"
"Aldata Solution Oyj Stock Exchange Release 11 August 2006 , at 11.00 am ALDATA SHARES SUBSCRIBED FOR WITH 2003 STOCK OPTIONS A total of 95,000 new shares of Aldata Solution Oyj have been subscribed for with the company 's 2003A stock options .",neutral,"[('Aldata Solution Oyj Stock Exchange Release', 'PERSON'), ('August 2006', 'DATE'), ('11.00', 'CARDINAL'), ('2003', 'DATE'), ('95,000', 'CARDINAL'), ('Aldata Solution Oyj', 'PERSON'), ('2003A', 'CARDINAL')]"
The Insolvency Act regulates the amount of debt that borrowers are permitted to write off .,neutral,[]
The investment will be worth approximately EUR 100mn .,neutral,"[('EUR 100mn', 'ORG')]"
The company is presently examining whether the project would be financially feasible .,neutral,[]
Also Lemmink+ñinen 's profit for accounting period went up to EUR 3.1 mn from EUR -24.5 mn a year ago .,positive,"[('EUR', 'ORG'), ('EUR', 'ORG'), ('a year ago', 'DATE')]"
"The start of the negotiations , relating to Glaston 's efficiency program , was announced in October .",neutral,"[('Glaston', 'PERSON'), ('October', 'DATE')]"
The continued operations mean the structure after the restructuring of the Aspocomp group including Aspocomp Oulu and the headquarter operations .,neutral,"[('Aspocomp', 'LOC'), ('Aspocomp Oulu', 'PERSON')]"
Earnings per share ( EPS ) amounted to a loss of EUR0 .05 .,negative,"[('EPS', 'ORG')]"
"The reasons behind the estimate include the rise in 2008 rent levels and several fully-leased office and retail properties , which were completed and added to the company 's investment property portfolio .",neutral,"[('2008', 'DATE')]"
The shares carry a right to dividend and other shareholder rights as from their registration with the Finnish Trade Register .,neutral,"[('the Finnish Trade Register', 'ORG')]"
$NFLX I say it's time to short at this point.,negative,"[('NFLX', 'ORG')]"
"2nd raise this year.  ""@BVHealthcare: $QCOR Questcor Increases Quarterly Cash Dividend 20 Percent.. http://stks.co/goan""",positive,"[('2nd', 'ORDINAL'), ('this year', 'DATE'), ('QCOR', 'PERSON'), ('20 Percent', 'PERCENT')]"
Aviva shuts Friends Life head office in rapid integration move,neutral,"[('Friends Life', 'ORG')]"
The move was triggered by weak demand for forestry equipment and the uncertain market situation .,neutral,[]
"However , the orders received during the period under review fell by 17 % quarter-on-quarter from the EUR 213 million recorded in the second quarter of 2010 .",neutral,"[('17 %', 'PERCENT'), ('the second quarter of 2010', 'DATE')]"
"The Division also includes joint sales , marketing and controlling functions for these units .",neutral,"[('Division', 'ORG')]"
"Outotec 's delivery covers the engineering , supply and construction of a circulating fluid bed calcination plant with a capacity of 1,600 tons of alumina per day .",neutral,"[('Outotec', 'ORG'), ('1,600 tons', 'QUANTITY')]"
"As a result , the company will temporarily lay-off 25 % of the whole personnel , approximately 270 persons at Kirkkonummi and Nivala factories .",neutral,"[('25 %', 'PERCENT'), ('approximately 270', 'CARDINAL'), ('Kirkkonummi', 'PERSON'), ('Nivala', 'PERSON')]"
"Result before taxes decreased to nearly EUR 14.5 mn , compared to nearly EUR 20mn in the previous accounting period .",negative,"[('EUR', 'ORG')]"
The majority of the company 's personnel in Finland is temporarily laid off from one to six weeks in the period from February to June 2009 period .,negative,"[('Finland', 'GPE'), ('one to six weeks', 'DATE'), ('February to June 2009', 'DATE')]"
The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 .,negative,"[('today', 'DATE'), ('EUR0', 'FAC'), ('the first quarter 2008', 'DATE')]"
The GyPSii mobile social networking application is available in China with both Chinese and English language support .,neutral,"[('China', 'GPE'), ('Chinese', 'LANGUAGE'), ('English', 'LANGUAGE')]"
QPR ProcessGuide is available as a system solution with centralized storage and management of process content as well as a standalone desktop version ; QPR ProcessGuide Xpress .,neutral,[]
X marks the recall: Tesla recalls #ModelX for faulty 3rd row seat. https://t.co/HSqdoVry07 $TSLA https://t.co/4Cs3CNZEBB,negative,"[('Tesla', 'PERSON'), ('3rd', 'ORDINAL'), ('TSLA', 'PERSON')]"
A 2001 agreement expired earlier this month .,neutral,"[('2001', 'DATE'), ('earlier this month', 'DATE')]"
loading $SPY and $AAPL puts. think were toppy IMHO.,negative,"[('SPY', 'ORG'), ('IMHO', 'ORG')]"
"So far , Mr. Galvan he has been able to avoid laying off workers .",positive,"[('Galvan', 'PERSON')]"
The measures result from the statutory joint negotiations with employees which started in February and concerned all operations in the country .,neutral,"[('February', 'DATE')]"
"When the negotiations were started , Neste Oil anticipated that 450 people would be affected .",neutral,"[('Neste Oil', 'PERSON'), ('450', 'CARDINAL')]"
"According to Arokarhu , some of the purchases that had been scanned into the cash register computer disappeared when the total sum key was pressed .",neutral,"[('Arokarhu', 'GPE')]"
"$AAPL double bottom could be in, keep in mind",positive,[]
"F-Secure Internet Security 2010 is a security service for surfing the web , online banking and shopping , e-mail , and other online activities .",neutral,"[('F-Secure Internet Security 2010', 'PRODUCT')]"
Orion Pharma 's operating profit increased by 42.5 % from 2004 .,positive,"[('42.5 %', 'PERCENT'), ('2004', 'DATE')]"
"The changes will take effect on 1 January 2010 , and they are not estimated to have an impact on the number of employees .",neutral,"[('1 January 2010', 'DATE')]"
"The recruitment is related to the relocation of Stora Enso 's research operations to Karlstad , central Sweden .",neutral,"[(""Stora Enso 's"", 'PERSON'), ('Karlstad', 'ORG'), ('Sweden', 'GPE')]"
Operating loss totaled EUR 25mn compared to a profit of EUR 63mn in the corresponding period in 2005 .,neutral,"[('EUR 25mn', 'ORG'), ('EUR 63mn', 'ORG'), ('2005', 'DATE')]"
"Profitability ( EBIT % ) was 13.6 % , compared to 14.3 % in Q2 2009 .",neutral,"[('13.6 %', 'PERCENT'), ('14.3 %', 'PERCENT'), ('Q2 2009', 'DATE')]"
"This new representation extends Comptel 's global presence to a total of 18 countries , serving over 250 customers in over 80 countries worldwide .",positive,"[('Comptel', 'ORG'), ('18', 'CARDINAL'), ('250', 'CARDINAL'), ('80', 'CARDINAL')]"
"Elisa Corporation will disclose its financial statements for 2006 on Thursday , 8 February 2007 .",neutral,"[('Elisa Corporation', 'PERSON'), ('2006', 'DATE'), ('Thursday', 'DATE'), ('8 February 2007', 'DATE')]"
"The company , which makes garden tools , scissors and other consumer goods , said earnings were boosted by 6.9 mln eur of income it received from its 16.7 pct shareholding in Finnish engineering group Wartsila .",positive,"[('6.9 mln', 'QUANTITY'), ('16.7', 'CARDINAL'), ('Finnish', 'NORP'), ('Wartsila', 'GPE')]"
The deliveries are scheduled for the summer and autumn of 2008 .,neutral,"[('the summer and autumn of 2008', 'DATE')]"
"Lule+Ñ municipality has awarded YIT a 2-year contract , for property management of about one third of the municipality 's properties , with a total area of 140,000 sq. metres .",positive,"[('2-year', 'DATE'), ('about one third', 'CARDINAL'), ('140,000 sq. metres', 'QUANTITY')]"
GSK and Novartis complete deals to reshape both drugmakers,positive,"[('GSK', 'ORG'), ('Novartis', 'ORG')]"
It is expected to be online by 2011 .,neutral,"[('2011', 'DATE')]"
Legal & General arm buys 50 pct stake in MediaCityUK in Manchester,positive,"[('Legal & General', 'ORG'), ('50', 'CARDINAL'), ('MediaCityUK', 'GPE'), ('Manchester', 'GPE')]"
Quality chargers under CHARGZ brand are sold in selected retail stores and other sales locations world-wide .,neutral,"[('CHARGZ', 'ORG')]"
Passengers rise at EasyJet and Aer Lingus,positive,"[('EasyJet', 'ORG'), ('Aer Lingus', 'ORG')]"
Operating profit rose to EUR 4.7 mn from EUR 4.6 mn .,positive,"[('EUR', 'ORG'), ('4.7', 'CARDINAL'), ('EUR', 'ORG')]"
Central Europe is an important market area for Honka .,neutral,"[('Central Europe', 'LOC'), ('Honka', 'ORG')]"
A total of $ 78 million will be invested in the project .,neutral,"[('$ 78 million', 'MONEY')]"
"Motorola accounted for 11.5 percent of the South Korean handset market as of the end of April , Samsung held 55 percent and LG Electronics 19 percent , according to Korea-based ATLAS Research Group .",neutral,"[('Motorola', 'ORG'), ('11.5 percent', 'PERCENT'), ('South Korean', 'NORP'), ('the end of April', 'DATE'), ('Samsung', 'ORG'), ('55 percent', 'PERCENT'), ('LG Electronics', 'ORG'), ('19 percent', 'PERCENT'), ('Korea', 'GPE'), ('ATLAS Research Group', 'ORG')]"
"$IFF technical alerts: Stochastic Sell Signal, 200 DMA Support, and 50 DMA Support  http://stks.co/p12QY",negative,"[('IFF', 'ORG'), ('Stochastic Sell Signal', 'ORG'), ('200', 'CARDINAL'), ('50', 'CARDINAL')]"
"On the basis of competitive bidding OOO Kitai Stroi , the Russian subsidiary of China State Construction Engineering Corporation , a construction company owned by China State , has been selected as the main constructor .",neutral,"[('Russian', 'NORP'), ('China State Construction Engineering Corporation', 'ORG'), ('China State', 'ORG')]"
British American Tobacco drops and sues PwC over pollution scandal,negative,"[('British American Tobacco', 'ORG')]"
"The group posted net sales of 35.3 mln euro $ 46.5 mln and an operating profit of 760,000 euro $ 1.0 mln in 2005 .",neutral,"[('35.3 mln', 'MONEY'), ('46.5', 'MONEY'), ('760,000', 'CARDINAL'), ('$ 1.0 mln', 'MONEY'), ('2005', 'DATE')]"
"Clothing retail chain Sepp+ñl+ñ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive,"[('Sepp+ñl+ñ', 'NORP'), ('8 %', 'PERCENT'), ('EUR', 'ORG'), ('155.2', 'CARDINAL'), ('EUR', 'ORG'), ('31.1', 'CARDINAL'), ('EUR', 'ORG'), ('17.1', 'CARDINAL'), ('2004', 'DATE')]"
The facility consists of a seven year bullet term loan of 200 mln euro $ 292.4 mln and a 150 mln euro $ 219.3 mln five year revolving credit facility .,neutral,"[('seven year', 'DATE'), ('200 mln', 'MONEY'), ('292.4', 'MONEY'), ('150 mln', 'MONEY'), ('219.3', 'MONEY'), ('five year', 'DATE')]"
"`` In terms of profitability and earnings 2007 was the best year in our history , '' Chief Executive Veli-Matti Mattila said .",positive,"[('2007', 'DATE'), ('the best year', 'DATE'), ('Veli-Matti', 'PERSON'), ('Mattila', 'PERSON')]"
Closing of such transaction took place today .,neutral,"[('today', 'DATE')]"
"In addition , a further 29 employees can be laid off until further notice and the whole workforce can be laid off for short periods if needed .",negative,"[('29', 'CARDINAL')]"
"The Annual Report will be sent automatically to shareholders holding at least 2,000 Sampo plc shares .",neutral,"[('at least 2,000', 'CARDINAL')]"
UPM-Kymmene is one of the world 's leading printing paper producers with production in 15 countries and a sales network covering more than 170 companies .,positive,"[('UPM-Kymmene', 'ORG'), ('15', 'CARDINAL'), ('more than 170', 'CARDINAL')]"
"` The stable outlook reflects Nokia 's strong market position in the global mobile handset market , strong cash flow generation , and very conservative balance sheet , ' said Raab .",positive,"[('Nokia', 'ORG'), ('Raab', 'PERSON')]"
"Nokia will continue to invest in future development of Qt for the benefit of all users , both Commercial and LGPL .",positive,"[('Nokia', 'ORG'), ('Qt', 'PERSON'), ('LGPL', 'GPE')]"
$HITK  Resuming advance into new historical highs.,positive,[]
`` NTC has a geographical presence that complements Ramirent 's existing network and brings us closer to our customers in the East Bohemia region in the CzechRepublic . '',positive,"[('NTC', 'ORG'), ('Ramirent', 'ORG'), ('East Bohemia', 'LOC'), ('CzechRepublic', 'ORG')]"
"Metso is a global supplier of sustainable technology and services for mining , construction , power generation , automation , recycling and the pulp and paper industries .",neutral,"[('Metso', 'ORG')]"
"Biohit Oyj develops , manufactures and markets liquid handling products and diagnostic test systems for use in research , healthcare and industrial laboratories .",neutral,"[('Biohit Oyj', 'PERSON')]"
"New Chairman of the Board of Directors , Mr Chaim Katzman , will give a presentation and answer questions .",neutral,"[('the Board of Directors', 'ORG'), ('Chaim Katzman', 'PERSON')]"
Viking Line manages well with its current ferries .,positive,[]
"When dialing in , the participants should quote 877417 as conference ID .",neutral,"[('877417', 'DATE')]"
The objective of the St. Petersburg office is first to boost the Company 's maintenance business .,neutral,"[('St. Petersburg', 'GPE'), ('first', 'ORDINAL'), ('Company', 'ORG')]"
Operating profit totaled EUR 17.7 mn compared to EUR 17.6 mn in the corresponding period in 2007 .,positive,"[('EUR', 'ORG'), ('17.7', 'CARDINAL'), ('EUR', 'ORG'), ('17.6', 'CARDINAL'), ('2007', 'DATE')]"
- Net sales for the period are expected to fall well below that of last year and the result after non-recurring items is expected to be in the red .,negative,"[('last year', 'DATE')]"
`` We have the most expensive water brand in Finland at the moment . '',neutral,"[('Finland', 'GPE')]"
"France T+®l+®com spent more time studying TeliaSonera than other potential takeover targets because it has a shareholder that wants to sell , Pellissier said .",neutral,"[('France', 'GPE'), ('TeliaSonera', 'ORG')]"
"$BRK.B $SPY  All time high tomorrow? 150k on the A shares, Dec 13, 2007.",positive,"[('$BRK.B $', 'MONEY'), ('SPY', 'MONEY'), ('tomorrow', 'DATE'), ('Dec 13, 2007', 'DATE')]"
Salonen added that data shows producers ' pulp inventories in North America are declining . ',negative,"[('North America', 'LOC')]"
`` Marimekko aims to expand its distribution network primarily by increasing the number of concept stores and shop-in-shops .,neutral,[]
SRV lowered its net sales estimate for the whole of 2008 due to uncertainties in housing sales .,negative,"[('SRV', 'ORG'), ('2008', 'DATE')]"
$AWR Standard & Poor's Affirms 'A+' Credit Rating at American States Water Company and Golden State Water Company http://stks.co/f2P94,positive,"[(""$AWR Standard & Poor's"", 'MONEY'), ('American States Water Company', 'ORG'), ('Golden State Water Company', 'ORG')]"
"According to CEO Kai Telanne , the company 's newspapers achieved the best financial result ever .",positive,"[('Kai Telanne', 'PERSON')]"
Seat belt recall? who cares....  I'm a buyer $TSLA,positive,[]
Randgold profit hit by poor gold price but dividend still increases,neutral,[]
"( ADP News ) - Jan 22 , 2009 - Finnish mobile phones maker Nokia Oyj ( OMX : NOK1V ) said today its operating profit decreased to EUR 5 billion ( USD 6.5 bn ) for 2008 from EUR 8 billion for 2007 .",neutral,"[('ADP News', 'ORG'), ('2009 - Finnish', 'DATE'), ('Nokia Oyj', 'PERSON'), ('today', 'DATE'), ('EUR 5 billion', 'MONEY'), ('2008', 'DATE'), ('EUR 8 billion', 'MONEY'), ('2007', 'DATE')]"
Finnish Raute Precision that supplies weighing and dosing systems and plants is changing its name to Lahti Precision .,neutral,"[('Finnish', 'NORP'), ('Lahti Precision', 'PERSON')]"
$AAPL at resistance right here...sold my shares...will buy back if it dips or if it goes in the 128 gap zone,negative,"[('128', 'CARDINAL')]"
EuroChem Head of Corporate Finance Alexander Gavrilov said : `` I am pleased that we have once again confirmed that EuroChem is able to attract long-term funds at attractive rates .,positive,"[('EuroChem Head', 'PERSON'), ('Alexander Gavrilov', 'PERSON'), ('EuroChem', 'PRODUCT')]"
"In Q1 of 2009 , the company 's result before taxes from continuing operations , excluding non-recurring items , totalled EUR -0.4 mn , compared to EUR -0.1 mn in the corresponding period in 2008 .",negative,"[('Q1 of 2009', 'DATE'), ('EUR', 'ORG'), ('EUR', 'ORG'), ('2008', 'DATE')]"
The robust growth was the result of the inclusion of clothing chain Lindex in the Group in December 2007 .,positive,"[('Group', 'ORG'), ('December 2007', 'DATE')]"
CompaniesDixons Carphone to close 134 UK stores as sales jump,positive,"[('CompaniesDixons Carphone', 'ORG'), ('134', 'CARDINAL'), ('UK', 'GPE')]"
"Elcoteq Dongguan was established in 1999 in the Nancheng District of Dongguan , China and is one of Elcoteq s four volume manufacturing plants in the Asia-Pacific region .",neutral,"[('Elcoteq Dongguan', 'PERSON'), ('1999', 'DATE'), ('the Nancheng District', 'LOC'), ('Dongguan', 'GPE'), ('China', 'GPE'), ('one', 'CARDINAL'), ('Elcoteq', 'ORG'), ('four', 'CARDINAL'), ('the Asia-Pacific region', 'LOC')]"
The measures result from decreased demand in technical design and product information .,negative,[]
"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",negative,"[('Kraft', 'ORG'), ('Cadbury', 'ORG'), ('Britvic', 'PERSON')]"
"The currency effect had a 3.0 pct , or 20 mln euro ( $ 31.3 mln ) , negative impact on the revenue .",neutral,"[('3.0', 'CARDINAL'), ('20 mln euro', 'MONEY'), ('$ 31.3 mln', 'MONEY')]"
$SPY bull move ended waiting for next setup,negative,"[('SPY', 'ORG'), ('bull', 'PERSON')]"
Analysts impressed with progress at Tesla's flagship factory; co spent $1.6B on upgrades in '15 https://t.co/SABxCSn8cd by @tsrandall $TSLA,positive,"[('Tesla', 'ORG'), ('1.6B', 'MONEY'), (""'15"", 'DATE')]"
$ISRG Break out confirmed. Bought Leaps. Good trading!,positive,"[('Bought Leaps', 'ORG')]"
"The highest growth would be in China , while weakening demand would continue in North America , UPM said .",neutral,"[('China', 'GPE'), ('North America', 'LOC'), ('UPM', 'ORG')]"
"from BUSINESS LINE , May 16 , 2008 Sriperumbudur , May 15 - Nokia 's two key suppliers - Aspocomp and Wintek - are likely to start operations within three months in the Nokia Telecom Park at Sriperumbudur , 45 km west off Chennai .",neutral,"[('BUSINESS LINE', 'ORG'), ('May 16 , 2008 Sriperumbudur', 'DATE'), ('May 15', 'DATE'), ('Nokia', 'ORG'), ('two', 'CARDINAL'), ('Wintek', 'PERSON'), ('three months', 'DATE'), ('the Nokia Telecom Park', 'ORG'), ('Sriperumbudur', 'ORG'), ('45 km', 'QUANTITY'), ('Chennai', 'ORG')]"
I am not optimistic about $amzn both fundementals and charts look like poopoo this quarter.,negative,"[('about $amzn both', 'MONEY'), ('this quarter', 'DATE')]"
He said he has been losing five families a month to the economy as many make alternative arrangements to save money .,neutral,"[('five', 'CARDINAL')]"
"The ship cranes , which will be manufactured by MacGREGOR 's partner plants in China , will be delivered between 2008-2010 for vessels ordered by Chinese COSCO , German Peter Dohle and Hong Kong based Cido Shipping .",neutral,"[('MacGREGOR', 'ORG'), ('China', 'GPE'), ('2008-2010', 'DATE'), ('Chinese', 'NORP'), ('German', 'NORP'), ('Peter Dohle', 'PERSON'), ('Hong Kong', 'GPE'), ('Cido Shipping', 'ORG')]"
Finnish fibers and plastic products maker Suominen Corporation said its net loss from continuing operations narrowed to 1.8 mln euro ( $ 2.3 mln ) in 2006 from 3.7 mln euro ( $ 4.8 mln ) in 2005 .,positive,"[('Finnish', 'NORP'), ('Suominen Corporation', 'ORG'), ('1.8', 'CARDINAL'), ('$ 2.3 mln', 'MONEY'), ('2006', 'DATE'), ('3.7', 'CARDINAL'), ('$ 4.8 mln', 'MONEY'), ('2005', 'DATE')]"
AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval,positive,"[(""AB InBev's"", 'ORG'), (""Win SABMiller's"", 'GPE'), ('Approval', 'PRODUCT')]"
The company 's equipment rental portfolio consists primarily of tools for small and mid-sized customers in the construction industry .,neutral,[]
It is a disappointment to see the plan folded .,neutral,[]
"Pretax loss totalled EUR 49.9 mn , compared to a loss of EUR 15.4 mn in the corresponding period in 2008 .",neutral,"[('EUR', 'ORG'), ('EUR', 'ORG'), ('2008', 'DATE')]"
Operating profit rose to 22.1 mln eur from 19.9 mln .,positive,"[('22.1', 'CARDINAL'), ('19.9 mln', 'MONEY')]"
"At 1.33 pm , the OMX Helsinki 25 was 0.30 pct lower at 2,463.67 and the OMX Helsinki was down 0.37 pct at 8,537.42 on volume of 256 mln eur .",negative,"[('1.33 pm', 'TIME'), ('the OMX Helsinki 25', 'ORG'), ('0.30', 'CARDINAL'), ('2,463.67', 'CARDINAL'), ('the OMX Helsinki', 'ORG'), ('0.37', 'CARDINAL'), ('8,537.42', 'CARDINAL'), ('256', 'CARDINAL')]"
"The segment has an annual revenue of approximately EUR400m , the company said .",neutral,"[('annual', 'DATE')]"
"We are very pleased with the fine co-operation between the two countries in recent times , he said .",positive,"[('two', 'CARDINAL')]"
"Cramo , headquartered in Vantaa , Finland , rents construction machinery and equipment , as well as rents and sells modular space .",neutral,"[('Cramo', 'ORG'), ('Vantaa', 'GPE'), ('Finland', 'GPE')]"
"We also strengthen our existing partnership with Cybercom '' , says Teleste CTO Esko Myllyla .",positive,"[('Cybercom', 'ORG'), ('Teleste CTO Esko Myllyla', 'PERSON')]"
"On 20 March 2006 , Stora Enso refused to comment the news in any way .",neutral,"[('20 March 2006', 'DATE'), ('Stora Enso', 'PERSON')]"
Operating profit increased to EUR 14.0 mn from EUR 4.9 mn in the corresponding period in 2005 .,positive,"[('EUR', 'ORG'), ('14.0', 'CARDINAL'), ('EUR 4.9', 'ORG'), ('2005', 'DATE')]"
$ZNGA http://stks.co/3rdu Looking for a test at 9.25 resistance point. cc @ cfrazierjr @FletchTrade #traders,positive,"[('ZNGA http://stks.co/3rdu Looking', 'PERSON'), ('9.25', 'CARDINAL')]"
"Previously , the company anticipated its operating profit to improve over the same period .",positive,"[('the same period', 'DATE')]"
SWOT analysis is just one method of categorization and has its own weaknesses .,neutral,[]
Merrill Lynch analyst Campbell Morgan upgraded his recommendation on PaperlinX from `` neutral '' to `` buy '' in May .,positive,"[('Merrill Lynch', 'ORG'), ('Campbell Morgan', 'PERSON'), ('May', 'DATE')]"
"A coker crane will be supplied to Tesoro Corporation 's Golden Eagle Refinery in Martinez , California , while a similar crane will be delivered to BP 's Castell refinery in Spain .",neutral,"[(""Tesoro Corporation 's"", 'ORG'), ('Golden Eagle Refinery', 'ORG'), ('Martinez', 'GPE'), ('California', 'GPE'), ('BP', 'ORG'), ('Castell', 'ORG'), ('Spain', 'GPE')]"
The group 's 12-month operating profit grew 31 percent to 337.8 million euros .,positive,"[('12-month', 'DATE'), ('31 percent', 'PERCENT'), ('337.8 million', 'CARDINAL')]"
- Counter your competitor 's strengths and target their weaknesses .,neutral,[]
Return on capital employed ROCE was a negative 2.3 % compared to 11.3 % in 2007 .,negative,"[('2.3 %', 'PERCENT'), ('11.3 %', 'PERCENT'), ('2007', 'DATE')]"
"$LULU http://stks.co/o17i Bounced off support early in week - now indicators turning up (RSI, MACD, SMI) Worth a look",positive,"[('LULU http://stks.co/o17i Bounced', 'PERSON'), ('week - now', 'DATE'), ('SMI', 'ORG')]"
Cargotec 's business areas also include the container handling solutions business area Kalmar and the marine cargo handling and offshore load handling solutions business area MacGREGOR .,neutral,"[('Cargotec', 'ORG'), ('Kalmar', 'PERSON')]"
"`` We continued actively to focus R&D and to position our offering away from point solutions towards dynamic end-to-end solutions , '' Ervio stated .",positive,"[('Ervio', 'PERSON')]"
$AAPL - Has broken its downtrend - but 200DMA proving to be stiff resistance short term. https://t.co/VlzlgvIHZV,positive,"[('200DMA', 'CARDINAL')]"
"In 2009 , Stora Enso 's net loss was EUR 879.7 million compared to EUR 673.4 million in the previous year .",negative,"[('2009', 'DATE'), (""Stora Enso 's"", 'PERSON'), ('EUR 879.7 million', 'ORG'), ('EUR 673.4 million', 'ORG'), ('the previous year', 'DATE')]"
"NORDIC BUSINESS REPORT-17 January 2006-Efore Plc inaugurates new plant in Estonia -® 1998-2006 M2 COMMUNICATIONS LTD Finnish power electronics manufacturer Efore Plc said on Tuesday ( 17 January ) that it was inaugurating its new plant in Parnu , Estonia .",neutral,"[('NORDIC BUSINESS REPORT-17', 'ORG'), ('January 2006', 'DATE'), ('Estonia', 'GPE'), ('1998-2006', 'DATE'), ('Finnish', 'NORP'), ('Efore Plc', 'ORG'), ('Tuesday', 'DATE'), ('17 January', 'DATE'), ('Parnu', 'LOC'), ('Estonia', 'GPE')]"
"The total value of the project is estimated to be over 3.0 mln euro $ 4.4 mln , of which the services will be over 2.0 mln euro $ 2.9 mln and third-party licences more than 1.0 mln euro $ 1.5 mln .",neutral,"[('$ 4.4 mln', 'MONEY'), ('2.0 mln', 'QUANTITY'), ('2.9', 'MONEY'), ('third', 'ORDINAL'), ('more than 1.0', 'CARDINAL'), ('$ 1.5 mln', 'MONEY')]"
Reed Elsevier share price slides on underwhelming full-year results,negative,"[('full-year', 'DATE')]"
"Technopolis has set aside a plot of land measuring 4.6 hectares to build the park , Mikkonen said .",neutral,"[('Technopolis', 'ORG'), ('4.6', 'CARDINAL'), ('Mikkonen', 'ORG')]"
GyPSii service supports ten different languages including Korean and Russian .,neutral,"[('ten', 'CARDINAL'), ('Korean', 'NORP'), ('Russian', 'NORP')]"
The company turned to earnings per share ( EPS ) of EUR 0.03 versus loss per share of EUR 0.01 .,positive,"[('EPS', 'ORG'), ('EUR', 'ORG'), ('0.03', 'CARDINAL'), ('EUR', 'ORG'), ('0.01', 'CARDINAL')]"
The company does not at present hold any of its own shares .,neutral,[]
The estimated value of the deal is USD 9.2 million .,neutral,[]
"In future , the plant will focus on the production of flange profiles for wind farm towers .",neutral,[]
"As a result of these transactions , the aggregate holdings of Burrill Life Sciences Capital Fund , L.P. has decreased below 5 per cent of the total number of shares and votes of the Company .",negative,"[('Burrill Life Sciences Capital Fund', 'ORG'), ('L.P.', 'GPE'), ('below 5 per cent', 'MONEY')]"
"Revenue in July to September grew 14 percent to ( EURO ) 467 million from a year earlier , the company said Thursday .",positive,"[('July', 'DATE'), ('September', 'DATE'), ('14 percent', 'PERCENT'), ('467 million', 'CARDINAL'), ('a year earlier', 'DATE'), ('Thursday', 'DATE')]"
4 February 2011 - Finnish privacy and security software developer Tectia Oyj ( HEL : TEC1V ) said Wednesday it has set up two strategic business units - managed security and mobile authentication .,neutral,"[('February 2011 - Finnish', 'DATE'), ('Tectia Oyj', 'PERSON'), ('HEL', 'ORG'), ('TEC1V', 'NORP'), ('Wednesday', 'DATE'), ('two', 'CARDINAL')]"
"SDM offers general rental equipment , aluminium scaffolding , power generator and hoists to customers in the construction sector .",neutral,[]
$tsla bad day to short,positive,"[('tsla bad day', 'DATE')]"
"Nokia controls more than 50 percent of phone sales in India and Africa , and has a strong prosition on most other emerging markets .",positive,"[('Nokia', 'ORG'), ('more than 50 percent', 'PERCENT'), ('India', 'GPE'), ('Africa', 'LOC')]"
$CYTX looks like an ascending channel on Finfiz http://stks.co/f26r4,positive,"[('CYTX', 'ORG'), ('Finfiz http://stks.co/f26r4', 'FAC')]"
Storengy is the GDF SUEZ company that is dedicated to the underground storage of natural gas .,neutral,[]
30 November 2009 - Finnish office furniture maker Martela Oyj HEL : MARAS said today that it will make redundant three people and other nine will be laid off permanently from the company 's office staff and factory workers .,neutral,"[('30 November 2009 - Finnish', 'DATE'), ('Martela Oyj HEL', 'PERSON'), ('MARAS', 'ORG'), ('today', 'DATE'), ('three', 'CARDINAL'), ('nine', 'CARDINAL')]"
"Panostaja owns a 68.77 pct of share capital and the voting rights of Suomen Helasto shares following an exchange of shares which was carried out on May 30 , 2007 .",neutral,"[('Panostaja', 'ORG'), ('68.77', 'CARDINAL'), ('Suomen Helasto', 'ORG'), ('May 30 , 2007', 'DATE')]"
The financial details of the transaction were not disclosed .,neutral,[]
"The two companies will also partner in further developing Raiso 's cholesterol lowering brand , Benecol .",positive,"[('two', 'CARDINAL'), ('Raiso', 'ORG'), ('Benecol', 'PERSON')]"
$NUGT Gold above 1400...wow,positive,"[('1400', 'CARDINAL')]"
Diageo sales disappoint as currency and comparatives leave bitter taste,negative,"[('Diageo', 'PERSON')]"
Finnish M-real 's Kyro mill is starting negotiations to cut staff .,neutral,[]
LONDON MarketWatch -- Share prices ended lower in London Monday as a rebound in bank stocks failed to offset broader weakness for the FTSE 100 .,negative,"[('LONDON MarketWatch', 'ORG'), ('London', 'GPE'), ('Monday', 'DATE'), ('FTSE', 'ORG'), ('100', 'CARDINAL')]"
Shares in BAE Systems hit 10-month high on rating upgrade,positive,"[('BAE Systems', 'ORG'), ('10-month', 'DATE')]"
